927:	236 
928:	236 
929:	236 
930:	236 
931:	5522 
932:	5522 
933:	6900 
934:	6900 
935:	1458 
936:	1458 3993 
937:	236 2379 3184 
938:	236 
939:	14510 
940:	236 1551 
941:	335 1324 2379 3255 5295 
942:	3255 6605 
943:	11427 
944:	15149 
945:	15149 
946:	15149 
947:	2379 8976 
948:	8976 
949:	8976 11412 
950:	236 3700 
951:	3700 11997 
952:	236 
953:	236 
954:	236 
955:	1551 
956:	1388 2911 3700 
957:	1388 15149 
958:	6105 7013 
959:	7013 11349 
960:	2468 
961:	2468 4671 13663 
962:	2468 
963:	115 4713 
964:	4713 
965:	2734 4713 
966:	13607 
967:	12594 13607 
968:	14600 
969:	14600 
970:	14600 
971:	3184 3993 
972:	7119 
973:	236 7119 
974:	13607 
975:	4838 
976:	1324 2379 3184 
977:	2396 14485 
978:	3187 
979:	3187 
980:	3187 
981:	12314 
982:	7181 12314 
983:	12314 
984:	1021 
985:	1021 
986:	1021 
987:	124 6605 13665 
988:	6605 10539 
989:	6605 13665 
990:	7212 
991:	7212 
992:	7212 
993:	7212 
994:	7212 
995:	7212 
996:	13557 
997:	1460 
998:	2379 2634 3187 
999:	17106 
1000:	124 2379 5103 16082 
1001:	7212 
1002:	7212 
1003:	7212 
1004:	7212 
1005:	2634 
1006:	2634 5524 6156 
1007:	3187 
1008:	7212 
1009:	2283 
1010:	236 
1011:	236 
1012:	236 
1013:	236 
1014:	236 
1015:	236 
1016:	216 236 913 13024 
1017:	7119 
1018:	2379 
1019:	2379 
1020:	2379 13315 13665 
1021:	1551 
1022:	237 
1023:	237 
1024:	13479 
1025:	13479 
1026:	236 335 
1027:	236 
1028:	236 
1029:	236 
1030:	11753 
1031:	4144 4664 11753 
1032:	2062 
1033:	1458 
1034:	1458 
1035:	3255 
1036:	3255 7448 
1037:	3255 
1038:	3255 
1039:	236 3052 
1040:	3052 6760 
1041:	4640 15215 
1042:	236 2379 13665 
1043:	115 1219 
1044:	1219 4640 
1045:	1219 7477 
1046:	1219 
1047:	1579 4671 
1048:	2379 6001 
1049:	2379 2540 
1050:	2379 7508 
1051:	2379 11910 
1052:	236 2379 12588 
1053:	913 1317 1551 
1054:	671 913 
1055:	913 1460 5103 5199 
1056:	4640 
1057:	3993 
1058:	2379 
1059:	335 
1060:	287 335 5103 
1061:	236 
1062:	6001 
1063:	6001 
1064:	2929 
1065:	2929 
1066:	2929 
1067:	2929 
1068:	2929 
1069:	236 
1070:	236 2379 4640 
1071:	236 
1072:	236 
1073:	236 
1074:	236 569 1579 
1075:	124 236 12934 
1076:	2468 2480 
1077:	1317 2468 11184 
1078:	335 
1079:	335 
1080:	6001 
1081:	6001 
1082:	6001 13665 
1083:	6001 13479 13665 
1084:	11427 
1085:	236 11427 14396 
1086:	2283 11427 
1087:	6001 
1088:	7736 
1089:	7736 
1090:	7736 
1091:	7736 
1092:	13665 
1093:	287 1209 
1094:	335 1209 
1095:	7787 
1096:	7787 
1097:	4838 7787 
1098:	2379 13024 
1099:	7803 15149 
1100:	15149 
1101:	236 1389 
1102:	236 
1103:	236 
1104:	8837 
1105:	8837 
1106:	2379 4351 
1107:	236 2379 6105 
1108:	4664 
1109:	4664 
1110:	4664 
1111:	2973 
1112:	2973 
1113:	4742 
1114:	4217 4742 
1115:	4742 
1116:	4742 
1117:	6777 
1118:	6777 
1119:	1065 2409 
1120:	1065 
1121:	1065 
1122:	1065 
1123:	6605 
1124:	6605 
1125:	236 
1126:	236 
1127:	236 
1128:	236 
1129:	236 
1130:	236 
1131:	236 
1132:	236 
1133:	236 
1134:	236 
1135:	236 11802 
1136:	236 
1137:	236 2973 4505 
1138:	335 
1139:	236 335 2379 14861 
1140:	671 
1141:	5199 11251 
1142:	11251 
1143:	236 
1144:	236 359 11104 
1145:	236 1288 
1146:	236 
1147:	6079 
1148:	287 6079 
1149:	2336 
1150:	17106 
1151:	4351 
1152:	12680 
1153:	2283 4838 6156 11106 
1154:	11184 11412 
1155:	236 2379 
1156:	2753 
1157:	2753 
1158:	236 
1159:	236 
1160:	236 1880 
1161:	236 
1162:	236 
1163:	236 
1164:	236 11184 
1165:	236 2379 
1166:	236 
1167:	236 359 2973 14510 
1168:	236 
1169:	335 
1170:	236 2379 
1171:	2609 
1172:	2609 13024 13845 16169 
1173:	4838 5352 
1174:	4838 7477 
1175:	3187 4671 6229 
1176:	6229 
1177:	236 7787 14510 
1178:	2470 3009 
1179:	2470 
1180:	16082 
1181:	11184 13557 
1182:	11184 16082 
1183:	236 
1184:	1370 16991 
1185:	236 16991 
1186:	2446 
1187:	2446 
1188:	6312 
1189:	6312 
1190:	6312 
1191:	1579 4671 13663 
1192:	2283 
1193:	2283 3557 
1194:	1324 2823 4671 
1195:	2198 5915 10004 12000 
1196:	236 
1197:	236 4505 
1198:	236 
1199:	236 3366 
1200:	236 359 7013 
1201:	359 
1202:	2468 
1203:	236 6794 
1204:	335 
1205:	8817 10047 
1206:	4640 4671 
1207:	7803 
1208:	3557 
1209:	3557 4367 4640 
1210:	232 12594 14436 
1211:	4796 
1212:	507 4796 
1213:	1324 4796 
1214:	1880 2468 
1215:	236 2468 
1216:	3993 
1217:	2454 
1218:	569 3993 
1219:	3993 6001 
1220:	335 3993 8380 
1221:	2609 7119 
1222:	7803 
1223:	4742 7803 
1224:	115 
1225:	236 
1226:	236 14510 
1227:	335 5028 
1228:	5028 
1229:	335 1460 
1230:	12565 
1231:	12565 
1232:	12565 
1233:	11893 
1234:	2283 11893 
1235:	6156 12314 
1236:	236 12314 
1237:	11861 
1238:	11861 
1239:	236 1563 
1240:	569 
1241:	236 
1242:	236 1460 5915 
1243:	1579 2379 2470 
1244:	8486 12000 
1245:	8486 
1246:	8486 
1247:	338 
1248:	338 
1249:	236 338 
1250:	236 
1251:	236 
1252:	1321 1563 
1253:	1563 11427 12610 13516 
1254:	1880 12314 
1255:	5915 
1256:	236 5915 
1257:	1219 
1258:	1219 
1259:	2283 
1260:	5352 
1261:	1880 
1262:	14600 
1263:	14600 
1264:	2734 4838 6072 
1265:	4838 
1266:	236 3165 
1267:	4514 
1268:	236 4671 
1269:	2468 4671 
1270:	236 
1271:	236 
1272:	236 
1273:	236 335 
1274:	236 8614 
1275:	9694 
1276:	236 
1277:	236 
1278:	236 287 
1279:	3187 4671 
1280:	8668 
1281:	8668 10698 16082 
1282:	8668 
1283:	98 4640 
1284:	4640 5608 
1285:	3255 
1286:	3165 3255 
1287:	236 
1288:	236 
1289:	236 335 6471 12314 
1290:	236 
1291:	236 
1292:	12309 
1293:	4514 12309 
1294:	2379 
1295:	3700 
1296:	3700 
1297:	4878 15370 
1298:	4878 
1299:	4303 12314 
1300:	1288 12314 
1301:	1201 12000 
1302:	1201 
1303:	1201 
1304:	236 1201 
1305:	12314 13714 
1306:	3187 
1307:	3187 
1308:	3187 
1309:	3187 
1310:	13315 
1311:	8817 
1312:	236 8817 
1313:	8817 
1314:	5103 
1315:	236 5103 
1316:	5103 
1317:	5103 
1318:	2663 4671 8837 
1319:	6721 
1320:	6721 
1321:	13448 
1322:	13448 
1323:	3187 13448 
1324:	13448 
1325:	236 
1326:	236 
1327:	236 
1328:	11334 
1329:	11334 
1330:	11334 
1331:	1551 
1332:	4838 
1333:	4838 
1334:	98 
1335:	12309 
1336:	115 14485 
1337:	5103 
1338:	2926 
1339:	2911 4791 
1340:	4791 
1341:	1324 4791 
1342:	2468 4640 
1343:	4640 
1344:	2911 
1345:	2911 
1346:	2911 
1347:	2911 
1348:	2911 
1349:	2911 17380 
1350:	2911 
1351:	2911 14517 
1352:	2911 
1353:	2911 3700 
1354:	4303 
1355:	2949 
1356:	2949 
1357:	2949 
1358:	4791 
1359:	6832 
1360:	3781 
1361:	3781 11340 
1362:	2911 3781 
1363:	2926 
1364:	2926 
1365:	8976 
1366:	8976 
1367:	842 
1368:	236 
1369:	236 
1370:	236 
1371:	11349 
1372:	6156 11349 
1373:	2283 11349 
1374:	17380 
1375:	17380 
1376:	2634 
1377:	2634 
1378:	236 3045 
1379:	3045 
1380:	335 
1381:	236 2379 
1382:	236 11997 
1383:	17380 
1384:	13663 
1385:	4838 
1386:	4838 16991 
1387:	296 4838 8976 
1388:	4838 
1389:	4838 
1390:	1089 
1391:	1089 
1392:	1579 2468 3187 13024 
1393:	8668 
1394:	1288 3187 8668 
1395:	3634 
1396:	3634 12309 
1397:	236 12314 
1398:	236 
1399:	11382 14510 
1400:	9160 
1401:	9160 
1402:	2379 3502 9160 
1403:	1324 
1404:	236 
1405:	236 2379 3993 12314 
1406:	236 
1407:	1460 
1408:	12314 
1409:	12314 
1410:	1389 12314 
1411:	1389 12314 
1412:	236 12314 
1413:	3009 13332 
1414:	3009 10415 12741 
1415:	3009 
1416:	296 
1417:	2454 2663 13024 13665 
1418:	1579 11349 
1419:	2379 
1420:	6605 
1421:	6605 
1422:	6605 
1423:	6605 
1424:	5837 
1425:	5837 
1426:	2663 6105 
1427:	10698 11349 
1428:	10698 
1429:	1460 
1430:	1458 1460 
1431:	1460 3655 
1432:	6105 
1433:	236 4514 
1434:	2609 3700 4838 
1435:	4838 
1436:	6105 
1437:	115 4671 16082 
1438:	2379 
1439:	2379 
1440:	2379 
1441:	236 
1442:	236 
1443:	15149 
1444:	236 15149 
1445:	4878 
1446:	236 11427 
1447:	236 
1448:	2379 
1449:	2379 
1450:	13557 
1451:	834 
1452:	2468 
1453:	2468 4819 11184 
1454:	7803 
1455:	7803 
1456:	7803 
1457:	7803 
1458:	1317 3993 
1459:	1317 13665 
1460:	2379 17179 
1461:	17179 
1462:	236 
1463:	2454 
1464:	5522 
1465:	5522 
1466:	1219 
1467:	3557 
1468:	4941 
1469:	4941 
1470:	2379 2736 
1471:	1209 
1472:	1324 
1473:	1324 
1474:	1324 
1475:	1324 2454 
1476:	236 2409 4671 
1477:	2409 
1478:	16169 
1479:	5103 16169 
1480:	3676 16169 
1481:	569 
1482:	6105 10539 11040 13665 
1483:	12314 14436 
1484:	4217 
1485:	4217 
1486:	4217 
1487:	236 4217 4640 6760 
1488:	3187 11427 
1489:	6156 
1490:	335 14510 
1491:	236 3993 
1492:	4771 
1493:	236 4771 5295 
1494:	2634 
1495:	2634 
1496:	236 
1497:	2705 11427 
1498:	12314 
1499:	236 
1500:	236 
1501:	236 9694 
1502:	335 
1503:	12314 
1504:	2283 
1505:	335 5199 
1506:	5199 
1507:	5199 13665 
1508:	1551 10420 11251 
1509:	335 4124 4819 
1510:	4144 
1511:	4144 
1512:	4144 
1513:	10047 
1514:	10047 
1515:	10047 
1516:	10047 
1517:	4732 
1518:	4732 
1519:	4732 
1520:	4144 
1521:	3518 
1522:	6156 
1523:	236 1370 6156 14485 
1524:	1579 
1525:	1579 
1526:	1579 
1527:	6777 
1528:	9809 
1529:	9809 
1530:	115 6156 
1531:	4742 
1532:	6760 
1533:	124 2379 3165 16082 
1534:	124 4838 11178 
1535:	124 
1536:	2926 
1537:	6832 
1538:	6832 
1539:	2926 
1540:	4732 9694 
1541:	236 
1542:	3317 
1543:	3317 
1544:	236 2409 
1545:	236 17380 
1546:	236 
1547:	236 
1548:	236 
1549:	236 
1550:	236 9878 
1551:	236 671 2379 13479 
1552:	16082 16169 
